Date,Platform,Harassment_Type,Target_Type,Target_Name,Content_Summary,Source_URL,Notes
2025-09-16,Social_Media,Physical_Assault,Journalist,Leevan_Ali_Nasir,"MMC member violently arrested during Media Bill protest",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Police violence documented
2025-09-16,Social_Media,Physical_Assault,Journalist,Ahmed_Aaidh,"Adhadhu journalist assaulted and beaten by police during protest",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Police brutality during Media Bill vote
2025-09-10,Parliamentary_Session,Forced_Removal,Journalist,Muzayin_Nazim,"MJA executive member forcibly removed from committee session",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Blocked from observing despite registration
2025-09-10,Parliamentary_Session,Forced_Removal,Journalist,Naaif_Ahmed,"MJA President forcibly removed from committee proceedings",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Denied access to public session
2025-08-27,Social_Media,Incitement_to_Violence,Journalists_General,Multiple_Journalists,"Majority Leader Ibrahim Falah declared journalists should be 'impaled'",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Direct incitement from government official
2025-08-18,Social_Media,Smear_Campaign,Journalists,Multiple_Journalists,"Coordinated online smear campaigns under #PassTheMediaBill hashtag",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Organized harassment campaign
2025-08-18,Social_Media,Defamation,Female_Journalists,Multiple_Women,"Political appointees targeted women journalists with doctored photographs",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Gender-based attacks on female leaders
2025-08-18,Social_Media,False_Accusations,Journalists,MJA_Members,"Unsubstantiated corruption claims against journalists opposing Media Bill",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Defamatory campaign
2025-08-18,Social_Media,Character_Assassination,Journalists,Opposition_Reporters,"Journalists branded as 'agents of the West'",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Attacks from ruling party MPs
2025-09-15,Social_Media,Death_Threat,Journalist,Hussain_Fiyaz_Moosa,"Anonymous X account threatened Adhadhu editor",https://www.ifj.org/media-centre/news/detail/category/press-releases/article/maldives-parliament-passes-repressive-media-control-bill,Direct death threat
